conf,tp,fn,fp,tn,acc,fpr,tpr,sensitivity,specificity,youden,precision, recall, pred, gt
0.8729,1,172,0,205,0.544973544973545,0.0,0.005780346820809248,0.005780346820809248,1.0,0.005780346820809248,0.9999999000000099,0.005780346820809248,1,1
0.862708,2,171,0,205,0.5476190476190477,0.0,0.011560693641618497,0.011560693641618497,1.0,0.011560693641618497,0.9999999500000026,0.011560693641618497,1,1
0.860232,3,170,0,205,0.5502645502645502,0.0,0.017341040462427744,0.017341040462427744,1.0,0.017341040462427744,0.9999999666666678,0.017341040462427744,1,1
0.85881,4,169,0,205,0.5529100529100529,0.0,0.023121387283236993,0.023121387283236993,1.0,0.023121387283236993,0.9999999750000006,0.023121387283236993,1,1
0.856204,5,168,0,205,0.5555555555555556,0.0,0.028901734104046242,0.028901734104046242,1.0,0.028901734104046242,0.9999999800000003,0.028901734104046242,1,1
0.853865,6,167,0,205,0.5582010582010583,0.0,0.03468208092485549,0.03468208092485549,1.0,0.03468208092485549,0.9999999833333336,0.03468208092485549,1,1
0.851147,7,166,0,205,0.5608465608465608,0.0,0.04046242774566474,0.04046242774566474,1.0,0.04046242774566474,0.9999999857142858,0.04046242774566474,1,1
0.850554,8,165,0,205,0.5634920634920635,0.0,0.046242774566473986,0.046242774566473986,1.0,0.046242774566473986,0.9999999875000002,0.046242774566473986,1,1
0.849489,9,164,0,205,0.5661375661375662,0.0,0.05202312138728324,0.05202312138728324,1.0,0.05202312138728324,0.9999999888888891,0.05202312138728324,1,1
0.848844,10,163,0,205,0.5687830687830688,0.0,0.057803468208092484,0.057803468208092484,1.0,0.057803468208092484,0.9999999900000002,0.057803468208092484,1,1
0.846457,11,162,0,205,0.5714285714285714,0.0,0.06358381502890173,0.06358381502890173,1.0,0.06358381502890173,0.9999999909090911,0.06358381502890173,1,1
0.84598,12,161,0,205,0.5740740740740741,0.0,0.06936416184971098,0.06936416184971098,1.0,0.06936416184971098,0.9999999916666668,0.06936416184971098,1,1
0.841839,13,160,0,205,0.5767195767195767,0.0,0.07514450867052024,0.07514450867052024,1.0,0.07514450867052024,0.9999999923076924,0.07514450867052024,1,1
0.841694,14,159,0,205,0.5793650793650794,0.0,0.08092485549132948,0.08092485549132948,1.0,0.08092485549132948,0.9999999928571429,0.08092485549132948,1,1
0.841423,15,158,0,205,0.582010582010582,0.0,0.08670520231213873,0.08670520231213873,1.0,0.08670520231213873,0.9999999933333334,0.08670520231213873,1,1
0.840073,16,157,0,205,0.5846560846560847,0.0,0.09248554913294797,0.09248554913294797,1.0,0.09248554913294797,0.9999999937499999,0.09248554913294797,1,1
0.839464,17,156,0,205,0.5873015873015873,0.0,0.09826589595375723,0.09826589595375723,1.0,0.09826589595375723,0.9999999941176471,0.09826589595375723,1,1
0.839034,18,155,0,205,0.58994708994709,0.0,0.10404624277456648,0.10404624277456648,1.0,0.10404624277456648,0.9999999944444444,0.10404624277456648,1,1
0.835581,19,154,0,205,0.5925925925925926,0.0,0.10982658959537572,0.10982658959537572,1.0,0.10982658959537572,0.9999999947368421,0.10982658959537572,1,1
0.83337,20,153,0,205,0.5952380952380952,0.0,0.11560693641618497,0.11560693641618497,1.0,0.11560693641618497,0.9999999949999999,0.11560693641618497,1,1
0.83329,21,152,0,205,0.5978835978835979,0.0,0.12138728323699421,0.12138728323699421,1.0,0.12138728323699421,0.9999999952380952,0.12138728323699421,1,1
0.833121,22,151,0,205,0.6005291005291006,0.0,0.12716763005780346,0.12716763005780346,1.0,0.12716763005780346,0.9999999954545454,0.12716763005780346,1,1
0.832359,23,150,0,205,0.6031746031746031,0.0,0.1329479768786127,0.1329479768786127,1.0,0.1329479768786127,0.9999999956521739,0.1329479768786127,1,1
0.831472,24,149,0,205,0.6058201058201058,0.0,0.13872832369942195,0.13872832369942195,1.0,0.13872832369942195,0.9999999958333333,0.13872832369942195,1,1
0.831428,25,148,0,205,0.6084656084656085,0.0,0.14450867052023122,0.14450867052023122,1.0,0.14450867052023122,0.999999996,0.14450867052023122,1,1
0.830025,26,147,0,205,0.6111111111111112,0.0,0.15028901734104047,0.15028901734104047,1.0,0.15028901734104047,0.9999999961538462,0.15028901734104047,1,1
0.829061,27,146,0,205,0.6137566137566137,0.0,0.15606936416184972,0.15606936416184972,1.0,0.15606936416184972,0.9999999962962962,0.15606936416184972,1,1
0.828121,28,145,0,205,0.6164021164021164,0.0,0.16184971098265896,0.16184971098265896,1.0,0.16184971098265896,0.9999999964285714,0.16184971098265896,1,1
0.828121,29,144,0,205,0.6190476190476191,0.0,0.1676300578034682,0.1676300578034682,1.0,0.1676300578034682,0.9999999965517241,0.1676300578034682,1,1
0.827923,30,143,0,205,0.6216931216931217,0.0,0.17341040462427745,0.17341040462427745,1.0,0.17341040462427745,0.9999999966666666,0.17341040462427745,1,1
0.82746,31,142,0,205,0.6243386243386243,0.0,0.1791907514450867,0.1791907514450867,1.0,0.1791907514450867,0.9999999967741935,0.1791907514450867,1,1
0.826272,32,141,0,205,0.626984126984127,0.0,0.18497109826589594,0.18497109826589594,1.0,0.18497109826589594,0.999999996875,0.18497109826589594,1,1
0.824949,33,140,0,205,0.6296296296296297,0.0,0.1907514450867052,0.1907514450867052,1.0,0.1907514450867052,0.999999996969697,0.1907514450867052,1,1
0.824949,34,139,0,205,0.6322751322751323,0.0,0.19653179190751446,0.19653179190751446,1.0,0.19653179190751446,0.9999999970588235,0.19653179190751446,1,1
0.824934,35,138,0,205,0.6349206349206349,0.0,0.2023121387283237,0.2023121387283237,1.0,0.2023121387283237,0.9999999971428571,0.2023121387283237,1,1
0.82291,36,137,0,205,0.6375661375661376,0.0,0.20809248554913296,0.20809248554913296,1.0,0.20809248554913296,0.9999999972222222,0.20809248554913296,1,1
0.822532,37,136,0,205,0.6402116402116402,0.0,0.2138728323699422,0.2138728323699422,1.0,0.2138728323699422,0.9999999972972973,0.2138728323699422,1,1
0.821974,38,135,0,205,0.6428571428571429,0.0,0.21965317919075145,0.21965317919075145,1.0,0.21965317919075145,0.999999997368421,0.21965317919075145,1,1
0.821767,39,134,0,205,0.6455026455026455,0.0,0.2254335260115607,0.2254335260115607,1.0,0.2254335260115607,0.9999999974358974,0.2254335260115607,1,1
0.821479,40,133,0,205,0.6481481481481481,0.0,0.23121387283236994,0.23121387283236994,1.0,0.23121387283236994,0.9999999975,0.23121387283236994,1,1
0.821012,41,132,0,205,0.6507936507936508,0.0,0.23699421965317918,0.23699421965317918,1.0,0.23699421965317918,0.9999999975609756,0.23699421965317918,1,1
0.820798,42,131,0,205,0.6534391534391535,0.0,0.24277456647398843,0.24277456647398843,1.0,0.24277456647398843,0.9999999976190476,0.24277456647398843,1,1
0.82077,43,130,0,205,0.656084656084656,0.0,0.24855491329479767,0.24855491329479767,1.0,0.24855491329479767,0.9999999976744186,0.24855491329479767,1,1
0.820341,44,129,0,205,0.6587301587301587,0.0,0.2543352601156069,0.2543352601156069,1.0,0.2543352601156069,0.9999999977272727,0.2543352601156069,1,1
0.819633,45,128,0,205,0.6613756613756614,0.0,0.26011560693641617,0.26011560693641617,1.0,0.26011560693641617,0.9999999977777777,0.26011560693641617,1,1
0.819268,46,127,0,205,0.6640211640211641,0.0,0.2658959537572254,0.2658959537572254,1.0,0.2658959537572254,0.999999997826087,0.2658959537572254,1,1
0.817217,47,126,0,205,0.6666666666666666,0.0,0.27167630057803466,0.27167630057803466,1.0,0.27167630057803466,0.9999999978723404,0.27167630057803466,1,1
0.817114,48,125,0,205,0.6693121693121693,0.0,0.2774566473988439,0.2774566473988439,1.0,0.2774566473988439,0.9999999979166666,0.2774566473988439,1,1
0.816419,49,124,0,205,0.671957671957672,0.0,0.2832369942196532,0.2832369942196532,1.0,0.2832369942196532,0.9999999979591837,0.2832369942196532,1,1
0.816143,50,123,0,205,0.6746031746031746,0.0,0.28901734104046245,0.28901734104046245,1.0,0.28901734104046245,0.999999998,0.28901734104046245,1,1
